Date,Open,High,Low,Close,Volume
22-May-02,4.85,5.09,4.60,4.95,1035200
21-May-02,5.00,5.05,4.81,5.02,431500
20-May-02,5.12,5.13,4.80,4.93,345300
17-May-02,5.21,5.22,5.07,5.12,522000
16-May-02,5.13,5.20,5.01,5.07,491600
15-May-02,5.28,5.32,5.10,5.13,384000
14-May-02,5.51,5.60,5.29,5.31,1737600
13-May-02,4.90,5.45,4.90,5.35,1571600
10-May-02,4.87,5.10,4.80,5.03,1803300
9-May-02,5.00,5.01,4.83,4.91,286900
8-May-02,4.60,5.08,4.60,5.08,518300
7-May-02,4.69,4.75,4.38,4.55,540900
6-May-02,5.19,5.29,4.65,4.70,462500
3-May-02,5.00,5.16,4.80,5.16,813600
2-May-02,4.67,5.09,4.58,5.00,784700
1-May-02,4.60,4.78,4.40,4.72,659000
30-Apr-02,4.48,4.64,4.40,4.59,685300
29-Apr-02,4.61,4.82,4.51,4.60,778700
26-Apr-02,4.64,4.75,4.50,4.62,1066900
25-Apr-02,4.94,5.00,4.50,4.71,543900
24-Apr-02,4.61,5.00,4.60,4.99,422600
23-Apr-02,4.70,4.85,4.50,4.60,672900
22-Apr-02,5.11,5.16,4.75,4.90,714100
19-Apr-02,5.33,5.39,5.16,5.18,207200
18-Apr-02,5.44,5.45,5.27,5.34,380200
17-Apr-02,5.45,5.46,5.25,5.43,386600
16-Apr-02,5.10,5.45,5.09,5.28,577600
15-Apr-02,5.06,5.14,5.01,5.12,345700
12-Apr-02,5.24,5.25,5.00,5.10,403400
11-Apr-02,5.09,5.16,4.96,5.15,732900
10-Apr-02,5.28,5.32,5.00,5.18,314600
9-Apr-02,5.30,5.40,5.10,5.22,618800
8-Apr-02,5.01,5.29,4.69,5.24,694600
5-Apr-02,5.16,5.18,5.01,5.01,743200
4-Apr-02,5.01,5.20,4.92,5.15,1440900
3-Apr-02,5.54,5.56,5.08,5.10,1497700
2-Apr-02,5.73,5.78,5.50,5.54,1152100
1-Apr-02,5.67,5.82,5.58,5.80,617300
28-Mar-02,5.71,5.76,5.63,5.70,491200
27-Mar-02,5.75,5.78,5.63,5.71,943200
26-Mar-02,5.83,5.84,5.70,5.77,454100
25-Mar-02,5.89,5.98,5.69,5.70,1092900
22-Mar-02,5.86,6.00,5.75,5.95,1090300
21-Mar-02,5.69,5.90,5.60,5.78,1228900
20-Mar-02,5.95,6.00,5.06,5.58,9542600
19-Mar-02,7.05,7.10,6.65,6.80,1167500
18-Mar-02,7.10,7.20,6.97,7.01,1090700
15-Mar-02,7.10,7.20,6.83,7.10,946500
14-Mar-02,7.10,7.23,6.76,7.20,904900
13-Mar-02,7.31,7.31,7.00,7.10,734000
12-Mar-02,7.05,7.50,6.85,7.32,2098700
11-Mar-02,6.85,6.91,6.40,6.70,1206200
8-Mar-02,7.18,7.25,6.75,6.75,1247700
7-Mar-02,7.24,7.24,7.00,7.06,485900
6-Mar-02,7.10,7.22,6.90,7.15,473300
5-Mar-02,6.80,7.13,6.64,7.09,775300
4-Mar-02,6.59,6.99,6.53,6.82,932400
1-Mar-02,5.77,6.50,5.71,6.50,1292600
28-Feb-02,6.01,6.07,5.75,5.89,639900
27-Feb-02,6.30,6.40,6.00,6.07,676000
26-Feb-02,6.40,6.45,6.15,6.29,736700
25-Feb-02,6.16,6.31,6.10,6.25,593200
22-Feb-02,6.06,6.24,5.87,6.15,733000
21-Feb-02,6.30,6.31,5.85,6.10,1704600
20-Feb-02,6.82,6.90,6.25,6.34,1956700
19-Feb-02,7.30,7.32,6.83,6.98,1912600
15-Feb-02,7.44,7.55,7.30,7.39,1075700
14-Feb-02,7.40,7.73,7.28,7.51,872600
13-Feb-02,7.53,7.65,7.37,7.44,886900
12-Feb-02,7.36,7.50,7.26,7.42,790000
11-Feb-02,7.75,7.75,7.42,7.55,1534300
8-Feb-02,7.21,7.90,7.15,7.88,1463300
7-Feb-02,7.66,7.66,6.85,7.20,2350200
6-Feb-02,8.03,8.05,7.59,7.61,1913000
5-Feb-02,8.29,8.60,7.95,8.00,1432700
4-Feb-02,8.37,8.75,8.11,8.65,1344800
1-Feb-02,8.14,8.73,8.10,8.45,1594500
31-Jan-02,8.15,8.31,7.94,8.12,1062600
30-Jan-02,8.58,8.60,7.90,8.09,1404100
29-Jan-02,8.47,8.55,8.33,8.49,1573600
28-Jan-02,8.58,8.76,8.25,8.50,1850400
25-Jan-02,7.99,8.66,7.82,8.56,2800800
24-Jan-02,8.19,8.30,7.88,7.96,1560400
23-Jan-02,7.66,8.23,7.55,8.05,2401800
22-Jan-02,9.35,9.50,7.30,7.44,8366800
18-Jan-02,8.19,8.43,7.98,8.41,1178200
17-Jan-02,8.09,8.63,8.05,8.55,1232300
16-Jan-02,8.33,8.55,8.00,8.00,1727200
15-Jan-02,8.73,8.88,8.54,8.68,1252600
14-Jan-02,8.64,8.80,8.30,8.80,2768000
11-Jan-02,8.70,8.96,8.60,8.71,1304300
10-Jan-02,9.05,9.09,8.56,8.70,1717300
9-Jan-02,8.95,9.18,8.90,9.00,2835300
8-Jan-02,8.95,9.14,8.55,8.85,3978300
7-Jan-02,8.35,9.15,8.00,8.95,6469300
4-Jan-02,7.46,8.25,7.41,8.25,4172300
3-Jan-02,7.10,7.43,7.00,7.10,1398000
2-Jan-02,7.14,7.20,6.81,7.15,1310600
31-Dec-01,6.96,7.20,6.91,7.10,1669000
28-Dec-01,6.85,7.10,6.62,7.02,1438900
27-Dec-01,6.97,7.18,6.75,6.80,1048600
26-Dec-01,6.93,7.45,6.93,6.98,1056100
24-Dec-01,6.78,7.15,6.75,7.05,476000
21-Dec-01,6.85,7.30,6.60,6.95,2123700
20-Dec-01,7.36,7.45,6.54,7.02,2745000
19-Dec-01,8.15,8.34,7.45,7.55,3923900
18-Dec-01,7.71,8.10,7.30,7.90,3023800
17-Dec-01,7.85,8.09,7.75,7.85,1322900
14-Dec-01,7.99,8.24,7.82,8.02,1741300
13-Dec-01,8.19,8.45,7.95,8.28,1676000
12-Dec-01,8.37,8.60,8.10,8.50,3551100
