Date,Open,High,Low,Close,Volume
22-May-02,16.59,17.14,15.93,16.27,8487100
21-May-02,17.22,17.27,16.50,16.73,4954300
20-May-02,17.71,17.72,16.89,17.17,7131400
17-May-02,18.19,18.45,17.67,18.00,6132100
16-May-02,17.66,18.20,17.55,18.03,7053700
15-May-02,17.17,17.98,17.05,17.78,10641800
14-May-02,16.69,17.82,16.65,17.55,12460800
13-May-02,15.66,16.23,15.65,15.98,7109200
10-May-02,16.20,16.45,15.40,15.46,8810000
9-May-02,15.65,16.65,15.59,16.37,11018800
8-May-02,15.23,16.37,15.10,16.32,10679100
7-May-02,14.78,15.05,14.56,14.74,6384400
6-May-02,14.64,15.26,14.39,14.60,7524500
3-May-02,15.02,15.10,14.47,14.77,6319600
2-May-02,15.19,15.77,14.80,15.00,10714300
1-May-02,14.79,15.85,14.12,15.64,13387800
30-Apr-02,14.22,15.05,14.16,14.76,10594900
29-Apr-02,14.47,14.70,13.97,14.21,7901600
26-Apr-02,14.91,14.95,14.35,14.50,9543800
25-Apr-02,14.24,14.77,14.17,14.35,8307100
24-Apr-02,14.68,15.09,14.50,14.61,13477000
23-Apr-02,14.11,14.28,13.87,14.17,7257700
22-Apr-02,14.73,14.73,13.88,14.14,9990400
19-Apr-02,15.20,15.25,14.75,14.76,9079900
18-Apr-02,15.77,15.84,15.00,15.06,8478700
17-Apr-02,15.58,15.90,15.48,15.89,11364400
16-Apr-02,15.53,15.55,15.05,15.39,14818700
15-Apr-02,15.90,16.07,15.32,15.41,9174300
12-Apr-02,15.82,15.99,15.50,15.72,11590500
11-Apr-02,16.86,16.87,15.26,15.45,34134500
10-Apr-02,18.70,18.81,17.50,18.44,16511600
9-Apr-02,18.95,19.15,18.39,18.46,10818900
8-Apr-02,17.60,18.85,17.35,18.84,13212900
5-Apr-02,17.74,18.48,17.71,18.17,9076700
4-Apr-02,17.81,17.82,17.10,17.66,7575600
3-Apr-02,18.23,18.28,17.51,17.82,7047000
2-Apr-02,18.44,18.50,17.85,18.05,7252000
1-Apr-02,18.75,18.85,18.00,18.68,6436800
28-Mar-02,18.03,18.49,17.87,18.47,5066200
27-Mar-02,17.71,17.95,17.29,17.85,5626200
26-Mar-02,17.62,18.45,17.57,17.69,8118300
25-Mar-02,18.40,18.88,17.72,17.83,5232800
22-Mar-02,18.42,18.76,18.18,18.43,6621700
21-Mar-02,18.35,18.75,17.60,18.59,10229400
20-Mar-02,18.67,19.09,18.16,18.20,5126800
19-Mar-02,19.17,19.45,18.99,19.09,5392600
18-Mar-02,18.74,19.26,18.66,19.21,7539500
15-Mar-02,19.50,19.60,18.13,18.72,13290600
14-Mar-02,19.04,19.39,18.90,19.23,5910200
13-Mar-02,18.75,19.60,18.75,19.22,8173300
12-Mar-02,19.35,19.81,18.90,19.36,14575200
11-Mar-02,18.51,20.54,18.51,20.50,17047600
8-Mar-02,18.44,18.98,18.05,18.93,9528400
7-Mar-02,18.31,18.50,17.62,17.94,8309300
6-Mar-02,17.85,18.50,17.63,18.26,11701600
5-Mar-02,17.29,18.26,17.17,18.19,14403200
4-Mar-02,17.13,18.07,16.95,17.81,16218100
1-Mar-02,14.93,16.69,14.93,16.61,16742700
28-Feb-02,14.63,15.01,14.25,14.46,8366100
27-Feb-02,15.09,15.38,14.45,14.55,8304600
26-Feb-02,15.11,15.13,14.16,14.93,8483500
25-Feb-02,14.42,15.25,14.09,15.00,9909900
22-Feb-02,14.30,14.66,13.41,14.46,9096000
21-Feb-02,15.15,15.35,14.35,14.44,10151000
20-Feb-02,14.74,15.43,14.01,15.29,12582600
19-Feb-02,15.12,15.15,14.25,14.44,12433500
15-Feb-02,16.70,16.71,15.49,15.67,7542500
14-Feb-02,16.92,17.35,16.50,16.57,6870300
